Airport ID;Name;City;Country;Latitude;Longitude
253;Daloa Airport;Daloa;Cote d'Ivoire;6.792809963;-6.473189831
254;Korhogo Airport;Korhogo;Cote d'Ivoire;9.387180328;-5.556660175
255;Man Airport;Man;Cote d'Ivoire;7.272069931;-7.587359905
256;San Pedro Airport;San Pedro;Cote d'Ivoire;4.746719837;-6.660820007
257;Yamoussoukro Airport;Yamoussoukro;Cote d'Ivoire;6.903170109;-5.365580082
258;Nnamdi Azikiwe International Airport;Abuja;Nigeria;9.006790161;7.263169765
259;Akure Airport;Akure;Nigeria;7.246739864;5.301010132
260;Benin Airport;Benin;Nigeria;6.316979885;5.599500179
261;Margaret Ekpo International Airport;Calabar;Nigeria;4.976019859;8.347200394
262;Akanu Ibiam International Airport;Enugu;Nigeria;6.474269867;7.56196022
263;Gusau Airport;Gusau;Nigeria;12.1717;6.69611
264;Ibadan Airport;Ibadan;Nigeria;7.362460136;3.978329897
265;Ilorin International Airport;Ilorin;Nigeria;8.440210342;4.493919849
266;Yakubu Gowon Airport;Jos;Nigeria;9.639829636;8.869050026
267;Kaduna Airport;Kaduna;Nigeria;10.6960001;7.320109844
268;Mallam Aminu International Airport;Kano;Nigeria;12.0476;8.52462
269;Maiduguri International Airport;Maiduguri;Nigeria;11.85529995;13.08090019
270;Makurdi Airport;Makurdi;Nigeria;7.70388;8.61394
271;Murtala Muhammed International Airport;Lagos;Nigeria;6.577370167;3.321160078
272;Minna Airport;Minna;Nigeria;9.652170181;6.462259769
273;Port Harcourt International Airport;Port Hartcourt;Nigeria;5.015490055;6.949590206
274;Sadiq Abubakar III International Airport;Sokoto;Nigeria;12.91629982;5.207190037
275;Yola Airport;Yola;Nigeria;9.25755024;12.43039989
276;Zaria Airport;Zaria;Nigeria;11.1302;7.68581
277;Maradi Airport;Maradi;Niger;13.50249958;7.126749992
278;Diori Hamani International Airport;Niamey;Niger;13.4815;2.18361
279;Tahoua Airport;Tahoua;Niger;14.8757;5.265359879
280;Mano Dayak International Airport;Agadez;Niger;16.9659996;8.000109673
281;Dirkou Airport;Dirkou;Niger;18.96870041;12.86870003
282;Diffa Airport;Diffa;Niger;13.37290001;12.6267004
283;Zinder Airport;Zinder;Niger;13.77900028;8.98375988
284;Monastir Habib Bourguiba International Airport;Monastir;Tunisia;35.7580986;10.75469971
285;Tunis Carthage International Airport;Tunis;Tunisia;36.85100174;10.22719955
286;Sidi Ahmed Air Base;Bizerte;Tunisia;37.245398;9.79145
287;Remada Air Base;Remada;Tunisia;32.30619812;10.38210011
288;Gafsa Ksar International Airport;Gafsa;Tunisia;34.42200089;8.822500229
289;Gabès Matmata International Airport;Gabes;Tunisia;33.87689972;10.10330009
290;Borj El Amri Airport;Bordj El Amri;Tunisia;36.72129822;9.943149567
291;Djerba Zarzis International Airport;Djerba;Tunisia;33.875;10.7755003
292;El Borma Airport;El Borma;Tunisia;31.70429993;9.254619598
293;Sfax Thyna International Airport;Sfax;Tunisia;34.7179985;10.69099998
294;Tozeur Nefta International Airport;Tozeur;Tunisia;33.93970108;8.110560417
295;Niamtougou International Airport;Niatougou;Togo;9.76733017;1.091249943
296;Lomé-Tokoin Airport;Lome;Togo;6.165609837;1.254510045
297;Antwerp International Airport (Deurne);Antwerp;Belgium;51.18939972;4.460279942
298;Beauvechain Air Base;Beauvechain;Belgium;50.75859833;4.768330097
299;Kleine Brogel Air Base;Kleine Brogel;Belgium;51.168301;5.47
300;Brussels Airport;Brussels;Belgium;50.90140152;4.48443985
301;Jehonville Air Base;Bertrix;Belgium;49.89170074;5.223889828
302;Brussels South Charleroi Airport;Charleroi;Belgium;50.459202;4.45382
303;Chièvres Air Base;Chievres;Belgium;50.57580185;3.83100009
304;Koksijde Air Base;Koksijde;Belgium;51.09030151;2.652780056
305;Florennes Air Base;Florennes;Belgium;50.24330139;4.645830154
306;Wevelgem Airport;Kortrijk-vevelgem;Belgium;50.81719971;3.20472002
307;Liège Airport;Liege;Belgium;50.63740158;5.443220139
308;Ostend-Bruges International Airport;Ostend;Belgium;51.19889832;2.862220049
309;Zutendaal Air Base;Zutendaal;Belgium;50.94749832;5.590559959
310;Brustem Airfield Sint Truiden;Sint-truiden;Belgium;50.791901;5.20167
311;Saint Hubert Air Base;St.-hubert;Belgium;50.03440094;5.440810204
312;Ursel Air Base;Ursel;Belgium;51.14419937;3.47555995
313;Weelde Air Base;Weelde;Belgium;51.39479828;4.960189819
314;Zoersel (Oostmalle) Airfield;Zoersel;Belgium;51.264702;4.75333
315;Flugplatz Bautzen;Bautzen;Germany;51.193611;14.519722
316;Altenburg-Nobitz Airport;Altenburg;Germany;50.981945;12.506389
317;Dessau Airfield;Dessau;Germany;51.831694;12.190962
318;Eisenhüttenstadt Airfield;Eisenhuettenstadt;Germany;52.195856;14.58753
319;Großenhain Airport;Suhl;Germany;51.30805588;13.5555563
320;Merseburg Airport;Muehlhausen;Germany;51.3630556;11.9408333
321;Halle-Oppin Airport;Halle;Germany;51.552223;12.053889
322;Riesa-Göhlis Airport;Riesa;Germany;51.29360962;13.35611057
323;Rechlin-Lärz Airport;Rechlin-laerz;Germany;53.30638886;12.75222206
324;Strausberg Airport;Strausberg;Germany;52.58055496;13.91666698
325;Schönhagen Airport;Schoenhagen;Germany;52.203609;13.156389
326;Barth Airport;Barth;Germany;54.338253;12.710515
327;Jena-Schöngleina Airfield;Jena;Germany;50.915279;11.714444
328;Kyritz Airport;Kyritz;Germany;52.91888809;12.42527771
329;"Magdeburg ""City"" Airport";Magdeburg;Germany;52.073612;11.626389
330;Rothenburg/Görlitz Airport;Rothenburg/ol;Germany;51.36333466;14.94999981
331;Anklam Airfield;Anklam;Germany;53.832779;13.668611
332;Cottbus-Drewitz Airport;Cottbus;Germany;51.889442;14.531944
333;Kamenz Airport;Kamenz;Germany;51.29694366;14.12749958
334;Berlin-Schönefeld Airport;Berlin;Germany;52.380001;13.5225
335;Dresden Airport;Dresden;Germany;51.13280106;13.76720047
336;Erfurt Airport;Erfurt;Germany;50.97980118;10.95810032
337;Frankfurt am Main Airport;Frankfurt;Germany;50.033333;8.570556
338;Münster Osnabrück Airport;Munster;Germany;52.13460159;7.684830189
339;Hamburg Airport;Hamburg;Germany;53.63040161;9.988229752
340;Berlin-Tempelhof International Airport;Berlin;Germany;52.47299957;13.40390015
341;Cologne Bonn Airport;Cologne;Germany;50.86589813;7.142739773
342;Düsseldorf Airport;Duesseldorf;Germany;51.289501;6.76678
343;Munich Airport;Munich;Germany;48.353802;11.7861
344;Nuremberg Airport;Nuernberg;Germany;49.498699;11.078056
345;Leipzig/Halle Airport;Leipzig;Germany;51.423889;12.236389
346;Saarbrücken Airport;Saarbruecken;Germany;49.21459961;7.109509945
347;Stuttgart Airport;Stuttgart;Germany;48.68989944;9.221960068
348;Berlin-Tegel Airport;Berlin;Germany;52.5597;13.2877
349;Hannover Airport;Hannover;Germany;52.46110153;9.685079575
350;Bremen Airport;Bremen;Germany;53.04750061;8.786669731
351;Frankfurt-Egelsbach Airport;Egelsbach;Germany;49.959999;8.645833
352;Frankfurt-Hahn Airport;Hahn;Germany;49.9487;7.26389
353;Mannheim-City Airport;Mannheim;Germany;49.473057;8.514167
354;Allendorf/Eder Airport;Allendorf;Germany;51.03499985;8.680832863
355;Worms Airport;Worms;Germany;49.606945;8.368333
356;Mainz-Finthen Airport;Mainz;Germany;49.967499;8.147222
357;Eisenach-Kindel Airport;Eisenach;Germany;50.991604;10.47973
358;Siegerland Airport;Siegerland;Germany;50.70769882;8.082969666
359;Hamburg-Finkenwerder Airport;Hamburg;Germany;53.53527832;9.83555603
360;Kiel-Holtenau Airport;Kiel;Germany;54.37944412;10.14527798
361;Lübeck Blankensee Airport;Luebeck;Germany;53.80540085;10.71920013
362;Flugplatz Dahlemer Binz;Dahlemer Binz;Germany;50.40555573;6.528889179
363;Meinerzhagen Airport;Meinerzhagen;Germany;51.09999847;7.599999905
364;Arnsberg-Menden Airport;Arnsberg;Germany;51.48389053;7.898333073
365;Essen Mulheim Airport;Essen;Germany;51.40230179;6.937329769
366;Bielefeld Airport;Bielefeld;Germany;51.964722;8.544444
367;Mönchengladbach Airport;Moenchengladbach;Germany;51.230278;6.504444
368;Paderborn Lippstadt Airport;Paderborn;Germany;51.61410141;8.616319656
369;Stadtlohn-Vreden Airport;Stadtlohn;Germany;51.99583435;6.840556145
370;Dortmund Airport;Dortmund;Germany;51.5182991;7.612239838
371;Augsburg Airport;Augsburg;Germany;48.425278;10.931667
372;Biberach a.d. Riß Airfield;Biberach;Germany;48.111111;9.762778
373;Eggenfelden Airport;Eggenfelden;Germany;48.39611053;12.72361088
374;Mindelheim-Mattsies Airfield;Mindelheim;Germany;48.106945;10.525
375;Oberpfaffenhofen Airport;Oberpfaffenhofen;Germany;48.081402;11.2831
376;Straubing Airport;Straubing;Germany;48.90083313;12.51666737
